,anharmfreq,rOH,rHO,rOO,tOHO,EFddec,EFddec_tot,EFddec_proj_HO,sOH,sOHQM,EFddec_perp
10,2826.6690000000003,1.00298073017382,1.7595960300307598,2.64771418990041,145.481051599258,0.058958448532459996,0.05899854363396499,0.04779606853205699,0.8553988050827099,0.7264,0.002174740806211
11,3401.724,0.9806673181563659,2.23610311522076,3.17246149243769,159.300961516622,0.025657655354207998,0.027968250037316,0.025779991387418003,0.9417615241317401,0.7966,0.011131384993543
12,3048.6220000000003,0.994104785523136,1.82823769794849,2.66175411219745,139.263275044549,0.049052012926883,0.049772013652745,0.037713349147046,0.8827566579933391,0.7516,0.008435245750416
13,2867.327,0.9986233807597309,1.7303687092333702,2.5618039090030496,138.077511483413,0.09468956853403399,0.09514312615320401,0.07410862348639,0.847628960476625,0.7368,0.009279012072575
14,3518.565,0.9759542885299499,3.0,3.5,100.0,0.010700869318979001,0.022429474480313,0.0,0.979651098791166,0.8386,0.019712248001715
15,2379.458,1.01789317376628,1.69921902771579,2.71396844113794,174.305003197766,0.06339451274735701,0.064411083221419,0.06237990219683,0.8290788854590451,0.7044,0.011398394416838003
16,3529.761,0.9745260953920128,3.0,3.5,100.0,0.041278335987365994,0.04177202821832499,0.0,0.976781284103382,0.8853,0.006403227279008001
17,3555.905,0.972839314481071,3.0,3.5,100.0,0.037082327841737,0.038335719611094006,0.0,0.985711120182571,0.9075,0.009722569616021
18,2792.755,1.0030490802548,1.75268883655942,2.5536909430469503,134.019195957069,0.100781745266325,0.101148564836851,0.066372784612537,0.820513854954364,0.7013,0.008606508562024
19,2898.283,0.999400505603234,1.89844442199397,2.87411153711891,164.557749848168,0.048306090987902006,0.048951392871717,0.046316247829117,0.8815674852760319,0.7387,0.007922148543784
20,3470.095,0.9775195017491971,2.20497278071635,2.76167615288252,114.817988781485,0.021549678213903002,0.025512202620866002,0.008678298673346001,0.946755553764372,0.8049,0.013655909030356001
21,2802.6479999999997,1.0007763619810401,1.7109341306866201,2.5549232987605697,139.365064642421,0.09631518493077,0.09673298049227001,0.076330260237519,0.8410667466720171,0.7339,0.008980794322862
22,3515.599,0.976218994181121,3.0,3.5,100.0,0.010957359282837,0.022980403949916,0.0,0.978799229001822,0.8379,0.020199882258274
23,2385.175,1.01825688792171,1.69801699743826,2.71302144307484,174.207254431936,0.063339407264997,0.064424600943151,0.062390217653857,0.8288695831901769,0.7037,0.011774918004092
24,3533.092,0.974079949747452,3.0,3.5,100.0,0.04097584938880999,0.041450619727487995,0.0,0.9779303111387428,0.887,0.0062556888236499995
25,3345.241,0.982787064882317,2.11272649790847,3.0672842664188997,163.35674693898702,0.028123223943617,0.029431538940209997,0.028326574939964,0.9279460470947329,0.7883,0.008677543396966999
26,3231.8740000000003,0.9870630405906209,1.94649950649878,2.71393200329338,132.626045868011,0.039060163199939,0.03982641364114,0.026186068063306,0.9010402512672171,0.7672,0.0077747587942869996
27,3541.85,0.9742193162219691,3.0,3.5,100.0,0.011583217720573998,0.016187602822642002,0.0,0.9893184437427671,0.8459,0.01130785357092
28,2569.5170000000003,1.01279652457934,1.67966840778173,2.60310976190018,149.42031373349,0.070296582656298,0.070406224417881,0.060972449003790986,0.8368664886065391,0.7102,0.003927709717792999
29,3540.6890000000003,0.9743647409979491,3.0,3.5,100.0,0.010306182294453,0.014383427869083,0.0,0.989632592261263,0.8476,0.010033224993919
30,2825.31,1.00256618444869,1.76251734882242,2.6485431394825296,145.233162811183,0.058545388476762,0.058583374025785,0.047343242613027005,0.856674208452875,0.7274,0.002109312767239
